Date,MACD.EU,MACD.EJ,MACD.EC,MACD.EA,RSI.EU,RSI.EJ,RSI.EC,RSI.EA,CCI.EU,CCI.EJ,CCI.EC,CCI.EA,Momentum.EU,Momentum.EJ,Momentum.EC,Momentum.EA
2017.12.13,0.00078265,0.21918028,0.00154392,0.0073237,45.12192447,53.52834215,49.616159,52.83526921,-128.6724273,37.74418371,-103.7321625,-125.682032,99.11698661,100.5506442,99.80880033,99.25804741
2017.12.14,0.00096316,0.14425199,0.00130355,0.00504368,53.78399576,51.6820236,51.19341572,49.83985986,-8.29331268,-0.92310814,-78.79963297,-177.5183744,99.34047469,99.35041663,99.54892228,98.43525477
2017.12.15,0.00071867,0.07720273,0.0010182,0.00323098,49.0731631,46.6533265,50.30612277,43.40848804,-65.54045492,-84.11553984,-86.95020421,-234.3026238,99.28426306,98.91860787,100.0644391,98.41795674
2017.12.18,0.00025649,0.04844104,0.00057642,0.00180027,46.04821011,46.89848657,48.83432976,43.36923344,-99.98889999,-85.81386395,-103.2514272,-169.9278457,98.99271722,99.28233971,99.59175639,98.38635286
2017.12.19,0.00018182,0.11039194,0.00060344,0.00129861,49.72205491,48.36649506,45.08030994,44.13380245,-37.66097706,-75.6124017,-160.3277275,-125.2244288,99.63463214,99.58908946,99.46200634,98.89204874
2017.12.20,0.00057835,0.23385329,0.0010517,0.00116358,54.90160993,56.13959069,52.21805465,49.12267143,54.59456805,72.46096894,-14.94435612,-63.27619434,100.3705243,100.9517838,99.86208669,99.07636653
2017.12.21,0.00114966,0.32345003,0.00154487,0.0004981,57.63543718,61.67485731,58.80786136,51.19532987,119.2242627,188.9583031,142.7565497,-31.49227577,100.8495238,101.1079646,100.1265184,98.78942969
2017.12.22,0.00158497,0.36937967,0.00190647,-0.0003672,57.64364914,61.24310202,61.03526586,47.02945006,115.930505,157.9333858,167.6733465,-69.42397353,100.9198177,100.7404745,100.3480655,98.40688074
2017.12.26,0.00187366,0.39939999,0.00215689,-0.00125714,57.13341896,60.64269583,61.99089114,44.84236181,107.5332349,120.6621005,153.6265644,-84.38301368,100.8429711,100.6390685,100.624668,98.34377139
2017.12.27,0.0020019,0.4558615,0.00226149,-0.00226713,55.94881929,58.46537769,59.70575387,43.13840783,81.90294655,81.13478154,99.76733087,-92.15601404,100.9905291,100.7126675,100.7628276,98.78056632
2017.12.28,0.00230931,0.50048676,0.00205363,-0.00290177,58.70116909,61.50316277,58.38079151,41.04675874,104.2076992,111.844225,72.20184077,-102.4709882,100.5268945,101.255054,100.5964385,98.85283916
2017.12.29,0.00296099,0.5715466,0.00200697,-0.00283544,63.3673894,61.99946753,52.8634248,42.16849231,149.1251926,99.40076149,12.77712187,-85.16030788,101.3933939,101.8509844,100.3589092,99.73241316
2018.01.02,0.00413264,0.62517414,0.00202333,-0.00264905,69.27851864,66.15443807,55.57820496,44.05090264,203.778614,130.0592012,46.80417622,-61.94172975,102.419087,102.3641733,100.6196021,99.89126684
2018.01.03,0.00523883,0.64171795,0.00217183,-0.0030073,70.97792829,64.52772969,56.43477526,48.19270338,188.8727021,99.75612071,51.28300483,2.50746787,102.353041,102.1105513,100.9035159,100.1698113
2018.01.04,0.0056956,0.71916147,0.0024158,-0.0031524,65.2251609,62.29647412,59.2214544,43.98792468,119.1199377,75.47687211,78.56896771,-71.55471743,101.4867627,101.1366102,100.6750787,99.25096785
2018.01.05,0.00641135,0.76605698,0.00230898,-0.00359472,68.52500717,67.3652147,61.31765796,44.95859578,128.1228685,125.226687,97.34617472,-47.88864388,101.6468289,101.0638772,100.3491936,99.1124375
2018.01.08,0.00657519,0.74125936,0.00196365,-0.00421619,63.5737044,67.41365903,56.33504328,41.66302508,80.68168004,121.4532049,42.86726697,-119.80265,101.3039743,101.1081218,99.9352304,99.21617483
2018.01.09,0.00614839,0.644301,0.00198342,-0.00468697,57.02751559,59.88880398,50.63476775,39.69377777,26.73404853,53.21606443,-44.68737869,-140.5765285,100.8333965,100.6290618,99.55633521,99.24998374
2018.01.10,0.00550064,0.45457807,0.0016277,-0.00519145,54.00866892,52.0982435,55.62298031,39.37449495,-8.82107186,-58.00415293,35.36347901,-125.0381961,100.6578115,100.1422698,99.98209673,99.41339034
2018.01.11,0.00502059,0.35850935,0.00176601,-0.00541108,54.95521754,43.12610986,51.7500706,37.91932707,-6.05172155,-200.7146733,-80.76682735,-138.7361859,100.5089893,98.8005819,99.83193994,99.50797499
